,SMILES
0,ClCc1nnc(-c2ccccc2)o1
1,N#Cc1ccccc1-c1cncnc1NCc1cccnc1
2,c1cncc(C[NH2+]Cc2cccnc2)c1
3,Clc1ccccc1-c1nccc(NCc2cccs2)n1
4,Clc1ccc(NCn2cncn2)nc1
5,Fc1ccccc1OCCCCn1cncn1
6,[S-]c1nnc(-c2ccccc2)c(-c2ccccc2)n1
7,FC(F)(F)c1n[nH]c(SCc2ccc(Cl)cc2Cl)n1
8,N#CCc1cc(-c2ccccc2)[nH]n1
9,Clc1ccc(-c2cc(COc3ccccc3)on2)cc1
10,c1ccc(CCNc2ncnc3ccccc23)cc1
11,N#Cc1cc2ccccc2nc1SCc1cccnc1
12,c1csc(CNc2ccnc(-c3ccoc3)n2)c1
13,Clc1ccc(Cn2cnc3ccccc32)cc1
14,[S-]c1nnc(Nc2ccccc2Cl)s1
15,c1ccc(CSc2nnc(-c3ccco3)c(-c3ccco3)n2)cc1
16,Fc1cccc(F)c1-c1nc(-c2ccc(Cl)cc2)no1
17,Nc1ccc(-c2ccccc2)cc1
18,N#CC(c1ccc(Cl)cc1)c1ccc(Cl)nn1
19,[S-]c1nnc(-c2ccccc2)n1Cc1ccccc1
20,c1ccc(CCn2nnc3ccccc32)cc1
21,Fc1ccccc1Cn1nnc2c(NCCc3ccccn3)ncnc21
22,c1ccc(SCc2n[nH]c(-c3ccncc3)n2)nc1
23,Nc1c(-c2ccc(F)cc2)cnc2ncnn12
24,Clc1nc(Cl)nc(Cl)n1
25,Clc1ccc(OCc2nc(-c3ccncc3)no2)cc1
26,[S-]c1nnc(CSc2nc3ccccc3s2)o1
27,Clc1ccccc1Cn1nnc2c(Nc3ccccc3)ncnc21
28,Nc1ccc(Sc2cc(Cl)nc(N)n2)cc1
29,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
30,Clc1ccc(-c2nnc3ccccn23)cc1
31,Fc1cc2ncn(Cc3ccccc3)c2cc1F
32,Nc1ccccc1C#Cc1ccccc1
33,Fc1ccc(Nc2nnns2)cc1
34,[S-]c1nnc(-c2ccc(Cl)cc2)n1Cc1ccccc1
35,c1cn(CCCNc2[nH]cnc3ncnc2-3)cn1
36,[S-]c1n[nH]c(-c2cc(Cl)ccc2Cl)n1
37,c1ccc(CCNc2nc(-c3ccccn3)cs2)cc1
38,N#CCSc1ncnc2ccccc12
39,Clc1ccc(Sc2cnc3ccccc3n2)cc1
40,N#Cc1nc(Cc2cccc3ccccc23)oc1NCCCn1ccnc1
41,Fc1cccc2ncnc(OCc3ccccc3)c12
42,Clc1ccc2[nH]c(SCc3nnc(-c4ccccc4)o3)nc2c1
43,Fc1ccccc1-n1nnnc1[S-]
44,Clc1ccc(-n2ncc3c(NCc4cccs4)ncnc32)cc1
45,[S-]c1nncn1NCc1ccc(Cl)cc1Cl
46,Clc1ccc(CONc2ncnc3nonc23)c(Cl)c1
47,N#CCSc1nnc(CNc2cccc(Cl)c2)o1
48,c1ccc2sc(-c3ccncc3)nc2c1
49,Fc1ccc(-c2cnn3c(-c4ccncc4)ccnc23)cc1
50,CC(c1ccccc1)c1nnc(N)s1
51,[S-]c1n[nH]c(-c2cc(Cl)cc(Cl)c2)n1
52,CCc1ccc(-c2nnn(Cc3nc4ccccc4s3)n2)cc1
53,c1ccc2[nH]c(CSc3nccs3)nc2c1
54,Brc1ccc(OCCn2ccnc2)cc1
55,Fc1ccc(-c2nnc(-c3ccc(Cl)cc3)o2)cc1
56,[S-]c1nc2ccc(Cl)cc2s1
57,Nc1ccc(-c2nc3nc(N)nc(N)c3nc2-c2ccc(N)cc2)cc1
58,Cn1c([S-])nnc1Cc1c[nH]c2ccccc12
59,N#Cc1cc(-c2ccccc2)nnc1Sc1ccc(F)cc1
60,c1ccc2[nH]c(CSc3nnc(-c4ccncc4)o3)nc2c1
61,Brc1cc2[nH]cnc2c2ccccc12
62,Clc1ccc(Nc2nc(-c3cccs3)cs2)nc1
63,N#CC(c1ccc(Cl)nn1)c1ccc(Cl)cc1Cl
64,Nc1nc(N)nc(CCCc2nc(N)nc(N)n2)n1
65,Nc1ccc(Oc2ccc(Cl)cc2)cc1
66,C[NH+](C)CCO[C@H](c1ccc(Cl)cc1)c1ccccn1
67,C[NH+](C)CCOC(c1ccc(Cl)cc1)c1ccccn1
68,c1ccc(-c2nccc(-c3ccc(-n4cnc5ccccc54)cc3)n2)cc1
69,Clc1ccccc1-c1nnn(Cc2ccc(-c3nn[n-]n3)cc2)n1
70,Cn1c([S-])nnc1Cn1nnc(-c2ccccc2)n1
71,c1csc(-c2cn3ccc4ccccc4c3[nH+]2)c1
72,Brc1ccc(OCc2ccccc2)c(C[NH2+]Cc2ccncc2)c1
73,Nc1ccc2oc(-c3cc(Br)ccc3Cl)nc2c1
74,CC(C)c1ccc(C[NH2+]Cc2ccccc2)cc1
75,COCCNc1nc(-c2ccccc2)nc2ccccc12
76,Cc1noc(C)c1CSc1nnc(-c2ccccc2)o1
77,CCc1ccc(-c2ccc(SCc3ccccn3)nn2)cc1
78,Nc1c(-c2ccsc2)cnc2ncnn12
